Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,11/09/05,Roma,Udinese,0,1,A,0,1,A,13,10,4,5,15,20,7,4,0,4,0,0,,,,,,,0.0,0.0,2,,,,
I1,11/09/05,Sampdoria,Reggina,3,2,H,1,1,D,16,11,7,7,22,24,5,5,1,3,0,1,,,,,,,0.0,0.0,0,,,,
I1,11/09/05,Treviso,Livorno,0,1,A,0,0,D,4,7,2,4,14,19,3,6,3,2,0,0,,,,,,,0.0,0.0,2,,,,
I1,17/09/05,Inter,Lecce,3,0,H,2,0,H,12,7,8,5,16,19,5,3,1,1,0,0,3.0,0.0,3.0,-1.0,0.33,0.2,9.0,5.0,0,,,,
I1,17/09/05,Parma,Empoli,1,0,H,1,0,H,27,16,12,3,22,19,10,7,1,0,0,0,1.0,0.0,0.0,-1.0,0.33,0.0,3.0,4.0,0,,,,
I1,18/09/05,Cagliari,Messina,1,1,D,1,1,D,16,8,8,5,20,25,8,4,1,4,0,0,1.0,0.0,0.0,-1.0,0.33,0.0,3.0,7.0,1,,,,
I1,18/09/05,Fiorentina,Udinese,4,2,H,2,1,H,11,14,6,9,24,21,4,3,0,3,0,0,3.0,3.0,1.0,1.0,0.22,0.2,9.0,5.0,0,,,,
I1,18/09/05,Juventus,Ascoli,2,1,H,2,1,H,17,12,7,5,18,16,8,6,2,2,0,0,3.0,1.0,1.0,0.0,0.14,0.0,7.0,4.0,0,,,,
I1,18/09/05,Lazio,Treviso,3,1,H,2,1,H,13,5,6,1,23,23,7,1,0,0,0,1,3.0,0.0,1.0,-3.0,0.25,0.0,4.0,3.0,0,,,,
I1,18/09/05,Livorno,Roma,0,0,D,0,0,D,6,8,4,5,17,13,5,3,2,2,0,0,3.0,3.0,1.0,3.0,0.29,0.33,7.0,9.0,1,,,,
I1,18/09/05,Reggina,Chievo,1,3,A,1,1,D,16,8,8,5,11,12,5,3,3,2,0,1,0.0,0.0,-3.0,-1.0,0.0,0.0,3.0,0.0,2,,,,
I1,18/09/05,Sampdoria,Milan,2,1,H,1,1,D,7,12,4,5,20,16,4,7,3,1,0,0,3.0,1.0,1.0,0.0,0.43,0.11,7.0,9.0,0,,,,
I1,18/09/05,Siena,Palermo,1,2,A,1,1,D,10,14,3,10,13,15,4,6,3,2,0,0,3.0,1.0,1.0,0.0,0.33,0.11,6.0,9.0,2,,,,
I1,21/09/05,Ascoli,Siena,1,1,D,0,1,A,7,8,2,4,28,19,3,3,1,2,0,0,1.0,0.0,0.0,-2.0,0.33,0.33,3.0,3.0,1,,,,
I1,21/09/05,Chievo,Inter,0,1,A,0,0,D,6,17,2,10,22,18,1,7,2,2,0,0,3.0,0.0,1.0,-1.0,0.12,0.33,8.0,6.0,2,,,,
I1,21/09/05,Empoli,Cagliari,3,1,H,0,1,A,8,9,4,5,22,16,8,5,3,2,0,0,0.0,0.0,-4.0,-1.0,0.0,0.17,1.0,6.0,0,,,,
I1,21/09/05,Lecce,Fiorentina,1,3,A,1,0,H,10,14,4,9,18,16,2,6,3,1,1,0,1.0,1.0,0.0,0.0,0.0,0.29,6.0,7.0,2,,,,
I1,21/09/05,Messina,Livorno,0,0,D,0,0,D,10,5,7,3,16,13,7,1,1,0,0,0,1.0,3.0,0.0,1.0,0.5,0.25,4.0,4.0,1,,,,
I1,21/09/05,Milan,Lazio,2,0,H,2,0,H,12,8,7,3,17,14,5,2,0,1,0,0,3.0,1.0,2.0,0.0,0.27,0.33,11.0,3.0,0,,,,
I1,21/09/05,Palermo,Reggina,1,0,H,0,0,D,16,8,10,3,17,19,10,5,2,4,0,0,3.0,0.0,1.0,-1.0,0.23,0.29,13.0,7.0,0,,,,
I1,21/09/05,Roma,Parma,4,1,H,3,1,H,18,8,12,2,17,14,7,6,2,3,0,0,0.0,0.0,-1.0,-1.0,0.0,0.0,4.0,2.0,0,,,,
I1,21/09/05,Treviso,Sampdoria,0,2,A,0,1,A,11,9,4,6,15,12,3,5,3,0,0,0,0.0,0.0,-1.0,-1.0,0.0,0.25,2.0,4.0,2,,,,
I1,21/09/05,Udinese,Juventus,0,1,A,0,1,A,6,7,3,3,24,18,3,1,3,1,0,0,3.0,3.0,1.0,4.0,0.12,0.5,8.0,8.0,2,,,,
I1,24/09/05,Parma,Juventus,1,2,A,1,1,D,5,8,3,6,27,27,2,5,3,3,0,0,2.0,3.0,1.0,5.0,0.13,0.45,7.5,5.5,2,,,,
I1,24/09/05,Reggina,Udinese,2,0,H,1,0,H,6,7,4,3,20,26,4,7,4,3,0,1,0.0,1.5,-5.0,-1.0,0.09,0.21,5.5,7.0,0,,,,
I1,25/09/05,Cagliari,Roma,0,0,D,0,0,D,8,12,3,5,12,17,2,3,2,2,0,0,1.0,2.0,0.0,3.0,0.18,0.21,5.5,7.0,1,,,,
I1,25/09/05,Empoli,Lecce,1,0,H,0,0,D,5,12,2,2,21,24,3,5,1,4,0,0,1.5,0.0,-2.0,-4.0,0.6,0.1,2.5,5.0,0,,,,
I1,25/09/05,Inter,Fiorentina,1,0,H,1,0,H,17,4,7,2,26,20,6,3,2,3,0,0,3.0,2.0,6.0,2.0,0.35,0.31,8.5,8.0,0,,,,
I1,25/09/05,Lazio,Palermo,4,2,H,0,1,A,8,10,5,4,23,21,8,7,2,3,0,0,3.0,2.0,3.0,1.0,0.4,0.16,5.0,9.5,0,,,,
I1,25/09/05,Livorno,Ascoli,2,0,H,0,0,D,9,5,2,2,10,15,4,3,0,2,0,1,2.0,0.5,1.0,-1.0,0.18,0.11,5.5,4.5,0,,,,
I1,25/09/05,Sampdoria,Chievo,1,2,A,0,1,A,8,10,5,6,18,26,6,7,2,4,0,0,3.0,1.5,2.0,1.0,0.45,0.6,5.5,2.5,2,,,,
I1,25/09/05,Siena,Messina,4,2,H,3,1,H,12,6,5,3,17,16,6,2,1,2,0,0,1.5,0.5,0.0,-1.0,0.33,0.08,4.5,6.0,0,,,,
I1,25/09/05,Treviso,Milan,0,2,A,0,1,A,6,12,2,6,22,13,4,2,3,0,0,0,0.0,0.5,-3.0,-1.0,0.0,0.14,3.0,7.0,2,,,,
I1,01/10/05,Chievo,Treviso,0,0,D,0,0,D,11,7,0,3,24,22,6,4,3,2,0,0,1.5,0.0,0.0,-5.0,0.1,0.25,5.0,2.0,1,,,,
I1,01/10/05,Udinese,Lazio,3,0,H,0,0,D,19,6,10,1,18,25,10,1,2,3,0,0,1.5,0.5,0.0,-2.0,0.09,0.17,5.5,3.0,0,,,,
