Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,15/03/09,Udinese,Catania,1,1,D,0,1,A,24,11,8,4,21,20,6,1,2,1,0,0,2.2,1.0,4.0,2.0,0.3,0.46,6.0,2.6,1,1.28,1.05,0.75,2.25
I1,21/03/09,Catania,Lazio,1,0,H,1,0,H,10,14,2,5,23,20,4,6,3,1,0,0,0.6,1.8,-5.0,2.0,0.18,0.33,4.4,4.8,0,1.05,1.52,1.5,1.5
I1,21/03/09,Roma,Juventus,1,4,A,0,1,A,17,16,6,5,18,20,8,6,4,2,0,0,2.6,2.0,7.0,3.0,0.33,0.24,5.4,5.8,2,1.98,2.14,0.5,2.0
I1,22/03/09,Bologna,Cagliari,0,1,A,0,1,A,7,12,3,5,20,35,4,10,4,4,0,0,0.8,1.6,-3.0,3.0,0.39,0.43,3.6,4.2,2,1.05,1.06,1.05,1.06
I1,22/03/09,Chievo,Palermo,1,0,H,1,0,H,14,6,5,2,29,23,5,3,2,2,0,1,1.4,1.4,1.0,2.0,0.24,0.28,5.0,3.6,0,1.22,1.38,0.75,1.5
I1,22/03/09,Fiorentina,Siena,1,0,H,0,0,D,8,10,2,2,23,20,3,8,3,2,0,0,1.8,0.8,0.0,0.0,0.21,0.24,5.6,4.2,0,1.87,1.09,2.17,0.67
I1,22/03/09,Genoa,Udinese,2,0,H,0,0,D,13,15,5,1,26,24,6,7,3,4,0,1,1.6,0.6,2.0,-2.0,0.32,0.33,5.0,3.6,0,1.05,1.28,3.0,0.0
I1,22/03/09,Inter,Reggina,3,0,H,2,0,H,19,16,6,8,16,18,5,2,1,3,0,0,2.2,0.6,4.0,-3.0,0.29,0.05,6.2,4.0,0,2.26,1.16,2.67,0.17
I1,22/03/09,Lecce,Atalanta,2,2,D,1,1,D,17,14,7,6,17,16,4,1,1,5,0,0,0.4,0.6,-7.0,-5.0,0.27,0.1,2.2,5.8,1,0.76,1.05,0.76,1.05
I1,22/03/09,Napoli,Milan,0,0,D,0,0,D,13,7,4,4,15,13,4,6,1,0,0,0,0.4,1.8,-6.0,8.0,0.14,0.47,4.2,6.0,1,1.05,1.94,1.5,1.5
I1,22/03/09,Torino,Sampdoria,1,3,A,1,2,A,23,11,5,7,35,20,8,3,5,2,0,0,1.0,0.4,-1.0,-6.0,0.11,0.12,3.8,3.4,2,1.05,1.32,1.75,1.0
I1,05/04/09,Atalanta,Fiorentina,1,2,A,0,0,D,9,26,2,7,20,13,2,5,5,2,1,0,1.8,1.0,3.0,-1.0,0.23,0.21,5.2,6.6,2,1.05,1.87,0.75,1.5
I1,05/04/09,Cagliari,Catania,1,0,H,0,0,D,14,14,4,3,18,11,5,1,2,2,0,0,1.4,1.2,1.0,3.0,0.21,0.47,2.8,3.0,0,1.06,1.05,1.0,1.75
I1,05/04/09,Juventus,Chievo,3,3,D,1,2,A,21,7,6,4,22,20,6,4,0,1,0,0,2.0,2.0,4.0,5.0,0.3,0.32,6.0,5.0,1,2.14,1.22,2.0,0.5
I1,05/04/09,Milan,Lecce,2,0,H,0,0,D,28,7,10,2,13,16,10,1,0,3,0,0,2.2,0.8,5.0,-6.0,0.27,0.28,5.2,3.6,0,1.94,0.76,1.5,1.5
I1,05/04/09,Palermo,Torino,1,0,H,0,0,D,13,8,3,2,19,23,3,4,2,6,0,0,1.8,0.8,-1.0,-2.0,0.28,0.31,7.2,3.2,0,1.38,1.05,1.25,1.25
I1,05/04/09,Reggina,Genoa,0,1,A,0,0,D,12,12,2,3,16,21,6,8,2,1,0,0,0.8,1.6,-1.0,-1.0,0.19,0.16,4.2,3.8,2,1.16,1.05,1.5,1.5
I1,05/04/09,Roma,Bologna,2,1,H,1,1,D,16,18,6,4,19,18,7,6,2,3,0,0,2.0,0.8,2.0,-5.0,0.32,0.17,5.0,3.6,0,1.98,1.05,1.98,1.05
I1,05/04/09,Sampdoria,Napoli,2,2,D,1,1,D,13,10,3,4,13,29,6,3,2,4,0,0,2.2,0.2,4.0,-4.0,0.43,0.33,4.6,2.4,1,1.32,1.05,1.5,1.5
I1,05/04/09,Siena,Lazio,2,0,H,1,0,H,10,9,4,4,16,12,4,5,2,1,0,0,1.0,1.2,-4.0,0.0,0.2,0.22,4.0,4.6,0,1.09,1.52,1.0,1.5
I1,05/04/09,Udinese,Inter,0,1,A,0,0,D,14,10,4,1,13,17,5,5,2,2,0,0,2.2,2.4,4.0,6.0,0.23,0.4,6.0,5.0,2,1.28,2.26,0.67,1.67
I1,11/04/09,Bologna,Siena,1,4,A,1,2,A,6,14,2,6,18,13,5,4,0,0,0,0,0.6,0.8,-4.0,0.0,0.3,0.24,4.0,4.2,2,1.05,1.09,1.05,1.09
I1,11/04/09,Chievo,Milan,0,1,A,0,0,D,11,11,5,5,26,18,5,7,2,2,0,0,1.4,1.4,1.0,5.0,0.19,0.4,5.2,5.0,2,1.22,1.94,0.75,2.25
I1,11/04/09,Fiorentina,Cagliari,2,1,H,0,0,D,22,13,5,5,24,23,7,4,2,3,0,2,2.4,2.0,2.0,4.0,0.27,0.41,4.4,4.4,0,1.87,1.06,2.17,0.67
I1,11/04/09,Genoa,Juventus,3,2,H,2,1,H,20,8,7,4,16,17,6,8,2,3,0,1,1.6,2.4,1.0,6.0,0.32,0.33,4.4,6.0,0,1.05,2.14,0.0,3.0
I1,11/04/09,Inter,Palermo,2,2,D,2,0,H,15,13,6,4,19,18,5,4,2,3,0,0,2.2,0.8,6.0,-1.0,0.33,0.19,6.6,3.2,1,2.26,1.38,1.83,0.83
I1,11/04/09,Lazio,Roma,4,2,H,2,1,H,19,21,8,10,25,15,5,8,3,3,1,2,0.8,1.2,-7.0,0.0,0.16,0.31,5.0,6.4,0,1.52,1.98,1.33,1.33
I1,11/04/09,Lecce,Sampdoria,1,3,A,0,2,A,14,11,7,5,26,23,5,3,3,1,1,0,0.6,1.0,-5.0,-2.0,0.29,0.24,3.4,4.2,2,0.76,1.32,1.5,1.5
I1,11/04/09,Napoli,Atalanta,0,0,D,0,0,D,5,15,1,3,19,17,5,4,1,2,0,0,0.6,0.8,-3.0,-4.0,0.14,0.12,4.2,5.2,1,1.05,1.05,1.5,1.5
I1,11/04/09,Torino,Catania,2,1,H,0,0,D,18,11,4,3,13,25,5,7,3,1,0,1,1.0,1.0,-2.0,2.0,0.14,0.35,4.4,3.4,0,1.05,1.05,2.0,0.5
I1,12/04/09,Reggina,Udinese,0,2,A,0,0,D,25,26,8,7,26,19,5,2,5,2,2,0,0.8,0.6,-1.0,-3.0,0.2,0.27,4.0,3.0,2,1.16,1.28,1.33,1.33
I1,18/04/09,Genoa,Lazio,0,1,A,0,0,D,10,15,3,5,19,11,7,4,2,2,0,0,2.0,1.2,2.0,0.0,0.35,0.17,5.2,4.6,2,1.05,1.52,1.5,1.5
I1,18/04/09,Juventus,Inter,1,1,D,0,0,D,17,12,4,8,19,24,12,9,2,2,1,0,1.6,3.0,3.0,9.0,0.38,0.48,5.8,4.2,1,2.14,2.26,2.5,0.25
I1,19/04/09,Atalanta,Reggina,0,1,A,0,1,A,22,9,8,3,20,27,4,2,4,5,0,0,1.8,0.6,3.0,-5.0,0.32,0.04,4.4,4.6,2,1.05,1.16,1.0,1.0
I1,19/04/09,Cagliari,Napoli,2,0,H,1,0,H,13,12,7,4,19,13,5,8,2,2,0,0,1.4,0.4,1.0,-3.0,0.19,0.33,3.2,3.0,0,1.06,1.05,3.0,0.0
I1,19/04/09,Catania,Sampdoria,2,0,H,1,0,H,16,13,6,3,31,15,6,7,2,0,0,0,1.2,1.6,-3.0,1.0,0.24,0.32,3.4,5.0,0,1.05,1.32,1.5,1.5
I1,19/04/09,Milan,Torino,5,1,H,2,0,H,16,6,8,4,9,11,7,1,0,3,0,0,2.2,0.6,6.0,-3.0,0.26,0.17,6.2,2.4,0,1.94,1.05,2.0,0.5
I1,19/04/09,Palermo,Bologna,4,1,H,2,0,H,18,16,10,3,22,16,9,8,2,3,0,1,1.8,0.2,-1.0,-7.0,0.24,0.16,6.6,3.8,0,1.38,1.05,1.38,1.05
I1,19/04/09,Roma,Lecce,3,2,H,2,1,H,19,19,8,6,12,24,9,5,1,1,0,1,2.0,0.6,2.0,-8.0,0.3,0.27,5.4,3.0,0,1.98,0.76,2.0,0.5
I1,19/04/09,Siena,Chievo,0,2,A,0,1,A,15,4,3,2,17,17,6,2,2,2,0,0,1.0,1.6,-3.0,4.0,0.24,0.38,4.2,5.2,2,1.09,1.22,1.5,1.5
I1,19/04/09,Udinese,Fiorentina,3,1,H,1,0,H,16,16,5,3,16,18,5,6,0,3,0,0,2.0,1.6,3.0,1.0,0.21,0.25,5.6,7.2,0,1.28,1.87,1.67,1.17
I1,25/04/09,Chievo,Udinese,1,2,A,0,1,A,21,19,9,8,13,11,11,4,2,1,1,0,1.2,1.0,0.0,-1.0,0.14,0.24,5.6,3.4,2,1.22,1.28,1.75,1.0
I1,25/04/09,Fiorentina,Roma,4,1,H,1,0,H,14,17,6,2,23,17,4,5,4,2,0,1,2.4,0.6,2.0,-5.0,0.26,0.26,4.6,6.8,0,1.87,1.98,0.67,1.67
I1,26/04/09,Bologna,Genoa,2,0,H,2,0,H,10,18,6,4,15,19,6,10,3,2,0,0,0.6,2.0,-4.0,0.0,0.4,0.17,3.0,3.6,0,1.05,1.05,1.05,1.05
I1,26/04/09,Lazio,Atalanta,0,1,A,0,1,A,17,11,4,4,17,18,1,6,2,1,0,0,1.4,1.0,-2.0,-3.0,0.26,0.12,5.4,5.2,2,1.52,1.05,1.75,1.0
I1,26/04/09,Lecce,Catania,2,1,H,2,0,H,12,19,5,5,25,24,6,7,1,0,0,1,0.4,1.0,-7.0,2.0,0.15,0.44,4.0,3.2,0,0.76,1.05,0.76,1.05
I1,26/04/09,Milan,Palermo,3,0,H,2,0,H,17,9,8,2,13,13,5,4,0,2,0,1,2.6,1.0,10.0,0.0,0.35,0.29,6.8,2.8,0,1.94,1.38,1.67,1.17
I1,26/04/09,Napoli,Inter,1,0,H,0,0,D,10,4,7,2,18,25,7,6,2,4,0,0,0.6,2.6,-3.0,7.0,0.05,0.38,4.0,4.8,0,1.05,2.26,1.5,1.5
I1,26/04/09,Reggina,Juventus,2,2,D,1,0,H,19,22,3,5,16,19,7,6,1,2,0,0,0.6,2.4,-3.0,6.0,0.09,0.35,4.6,6.2,1,1.16,2.14,0.75,2.25
I1,26/04/09,Sampdoria,Cagliari,3,3,D,2,0,H,18,16,9,8,18,11,13,5,3,2,0,0,1.8,1.4,2.0,0.0,0.41,0.27,4.4,4.4,1,1.32,1.06,1.0,1.5
I1,26/04/09,Torino,Siena,1,0,H,1,0,H,17,6,6,2,19,14,6,5,1,1,0,0,1.4,1.4,-1.0,4.0,0.21,0.43,4.8,4.2,0,1.05,1.09,0.5,2.0
I1,02/05/09,Bologna,Reggina,1,2,A,0,1,A,19,9,6,3,22,16,9,1,4,3,0,0,1.2,1.0,0.0,-4.0,0.39,0.09,3.6,4.6,2,1.05,1.16,1.05,1.16
I1,02/05/09,Inter,Lazio,2,0,H,0,0,D,9,9,4,4,16,21,6,4,4,3,0,0,2.2,1.8,6.0,2.0,0.36,0.23,6.6,4.4,0,2.26,1.52,2.33,0.33
I1,03/05/09,Catania,Milan,0,2,A,0,1,A,10,20,2,8,11,10,1,12,2,2,0,0,1.8,1.4,1.0,3.0,0.32,0.31,3.8,5.2,2,1.05,1.94,0.75,1.5
I1,03/05/09,Fiorentina,Torino,1,0,H,0,0,D,16,8,2,5,26,23,5,3,1,1,0,1,2.4,0.4,4.0,-7.0,0.43,0.15,4.2,2.6,0,1.87,1.05,3.0,0.0
I1,03/05/09,Genoa,Sampdoria,3,1,H,1,1,D,13,8,4,2,29,21,7,4,2,5,2,1,1.4,1.4,0.0,-1.0,0.35,0.28,4.6,5.0,0,1.05,1.32,0.5,2.0
I1,03/05/09,Juventus,Lecce,2,2,D,0,1,A,16,11,6,3,13,22,9,2,3,1,0,0,1.8,0.0,4.0,-10.0,0.34,0.24,5.8,3.4,1,2.14,0.76,3.0,0.0
I1,03/05/09,Palermo,Cagliari,5,1,H,2,0,H,22,22,13,4,8,14,4,4,1,3,0,0,1.8,1.0,1.0,-1.0,0.26,0.22,7.6,5.4,0,1.38,1.06,1.33,1.33
I1,03/05/09,Roma,Chievo,0,0,D,0,0,D,18,7,9,2,16,32,5,2,1,3,0,1,2.0,2.0,0.0,6.0,0.29,0.52,5.6,4.2,1,1.98,1.22,1.5,0.75
I1,03/05/09,Siena,Napoli,2,1,H,2,0,H,10,5,5,3,23,22,4,0,1,0,0,0,1.0,0.4,-4.0,-4.0,0.19,0.29,4.2,2.8,0,1.09,1.05,1.0,1.0
I1,03/05/09,Udinese,Atalanta,3,0,H,1,0,H,11,8,4,1,11,19,2,1,0,4,0,1,2.0,1.0,4.0,-3.0,0.25,0.12,5.6,5.0,0,1.28,1.05,1.75,1.0
I1,09/05/09,Lazio,Udinese,1,3,A,0,0,D,14,17,3,6,20,23,6,6,3,0,1,0,1.4,1.4,0.0,0.0,0.28,0.23,5.0,4.4,2,1.52,1.28,1.33,1.33
I1,09/05/09,Sampdoria,Reggina,5,0,H,3,0,H,12,16,9,5,22,16,4,4,3,1,0,1,1.8,1.4,2.0,-3.0,0.37,0.13,5.4,4.6,0,1.32,1.16,1.67,1.17
I1,10/05/09,Atalanta,Genoa,1,1,D,1,0,H,7,10,3,1,18,20,1,9,1,3,1,0,1.2,2.0,1.0,1.0,0.26,0.19,4.6,3.2,1,1.05,1.05,1.5,1.5
I1,10/05/09,Cagliari,Roma,2,2,D,1,0,H,9,21,5,11,19,24,3,13,4,2,0,0,2.0,0.4,4.0,-8.0,0.24,0.28,4.2,5.8,1,1.06,1.98,0.83,1.83
I1,10/05/09,Catania,Fiorentina,0,2,A,0,1,A,12,19,2,7,20,21,9,5,3,3,0,0,1.8,1.0,0.0,-3.0,0.31,0.22,3.2,6.4,2,1.05,1.87,0.0,3.0
I1,10/05/09,Chievo,Inter,2,2,D,1,1,D,15,12,8,4,27,25,7,3,3,2,0,0,1.0,2.0,-1.0,3.0,0.12,0.29,6.8,4.2,1,1.22,2.26,0.0,3.0
I1,10/05/09,Lecce,Napoli,1,1,D,1,1,D,28,8,9,1,13,17,13,4,3,2,0,0,1.0,0.4,-3.0,-4.0,0.21,0.27,4.8,3.0,1,0.76,1.05,0.76,1.05
I1,10/05/09,Milan,Juventus,1,1,D,0,0,D,17,15,3,6,14,13,6,2,2,2,1,0,3.0,2.0,13.0,5.0,0.4,0.37,7.0,6.0,1,1.94,2.14,1.25,1.25
I1,10/05/09,Siena,Palermo,1,0,H,0,0,D,17,11,3,2,18,19,12,3,2,2,0,0,1.4,1.0,-3.0,-2.0,0.24,0.27,4.2,3.0,0,1.09,1.38,1.33,1.33
I1,10/05/09,Torino,Bologna,1,1,D,1,0,H,22,11,7,5,21,23,8,4,3,6,0,0,1.8,0.2,0.0,-9.0,0.2,0.2,5.0,4.0,1,1.05,1.05,1.05,1.05
I1,16/05/09,Roma,Catania,4,3,H,3,1,H,19,15,9,7,9,20,6,5,1,2,0,0,1.6,0.8,-1.0,1.0,0.21,0.37,6.6,3.8,0,1.98,1.05,2.5,0.25
I1,16/05/09,Udinese,Milan,2,1,H,1,0,H,26,13,9,3,8,18,7,13,3,4,0,0,2.0,2.0,6.0,6.0,0.36,0.33,5.0,5.4,0,1.28,1.94,0.5,2.5
I1,17/05/09,Bologna,Lecce,2,1,H,1,1,D,13,14,4,3,18,15,5,3,2,1,0,1,1.2,0.2,0.0,-8.0,0.35,0.33,4.0,3.6,0,1.05,0.76,1.05,0.76
I1,17/05/09,Fiorentina,Sampdoria,1,0,H,1,0,H,12,8,5,1,13,18,3,1,0,3,0,0,2.4,1.2,4.0,-3.0,0.42,0.29,3.8,4.8,0,1.87,1.32,1.5,1.0
I1,17/05/09,Genoa,Chievo,2,2,D,0,1,A,19,14,8,4,11,21,7,5,4,1,0,0,1.8,2.2,2.0,7.0,0.33,0.48,4.8,4.2,1,1.05,1.22,1.05,1.22
I1,17/05/09,Inter,Siena,3,0,H,1,0,H,12,16,7,6,12,10,3,9,0,0,0,0,2.2,1.2,7.0,3.0,0.38,0.35,6.4,4.0,0,2.26,1.09,2.0,0.5
I1,17/05/09,Juventus,Atalanta,2,2,D,2,2,D,15,11,6,5,17,11,8,5,0,0,0,0,1.8,1.0,4.0,-5.0,0.38,0.15,5.8,4.0,1,2.14,1.05,3.0,0.0
I1,17/05/09,Napoli,Torino,1,2,A,1,0,H,16,9,4,5,22,14,9,3,3,1,0,0,1.0,0.2,-2.0,-8.0,0.05,0.06,4.0,3.2,2,1.05,1.05,0.5,2.0
I1,17/05/09,Palermo,Lazio,2,0,H,1,0,H,11,12,3,0,19,19,5,4,1,3,0,0,2.4,1.2,7.0,-2.0,0.33,0.14,9.0,4.4,0,1.38,1.52,1.67,1.17
I1,17/05/09,Reggina,Cagliari,2,1,H,1,1,D,28,9,8,4,9,6,8,1,1,0,0,0,0.6,1.0,-3.0,-4.0,0.17,0.27,4.6,5.2,0,1.16,1.06,2.67,0.17
I1,20/05/09,Lazio,Reggina,1,0,H,1,0,H,19,17,5,5,14,16,7,13,1,1,0,0,1.2,1.4,-2.0,-6.0,0.28,0.12,5.0,5.2,0,1.52,1.16,1.83,0.83
I1,24/05/09,Atalanta,Palermo,2,2,D,0,1,A,19,10,8,5,18,17,4,4,2,1,0,0,0.8,0.8,-2.0,-3.0,0.21,0.29,3.8,2.8,1,1.05,1.38,1.25,1.25
I1,24/05/09,Cagliari,Inter,2,1,H,1,1,D,17,15,8,2,6,15,4,3,1,1,0,0,1.6,1.6,2.0,2.0,0.25,0.33,4.0,3.6,0,1.06,2.26,0.33,2.33
I1,24/05/09,Catania,Napoli,3,1,H,1,1,D,13,14,5,4,21,24,5,1,1,2,0,1,1.2,0.6,-4.0,-3.0,0.21,0.36,2.8,2.8,0,1.05,1.05,1.5,1.5
I1,24/05/09,Chievo,Bologna,0,0,D,0,0,D,13,8,4,2,17,11,3,6,0,0,0,0,1.0,0.2,-1.0,-9.0,0.15,0.22,6.6,3.6,1,1.22,1.05,1.22,1.05
I1,24/05/09,Lecce,Fiorentina,1,1,D,0,0,D,22,20,10,7,26,18,9,9,3,3,0,1,1.2,1.4,-1.0,-1.0,0.18,0.21,6.6,5.8,1,0.76,1.87,0.0,3.0
I1,24/05/09,Milan,Roma,2,3,A,0,1,A,19,18,8,7,17,13,7,4,0,3,1,0,2.6,0.6,12.0,-5.0,0.4,0.26,7.0,7.6,2,1.94,1.98,0.67,2.17
I1,24/05/09,Sampdoria,Udinese,2,2,D,2,1,H,14,25,5,6,10,18,6,8,3,1,0,0,1.8,2.0,6.0,3.0,0.42,0.31,6.6,5.2,1,1.32,1.28,0.83,1.83
I1,24/05/09,Siena,Juventus,0,3,A,0,2,A,8,14,2,8,12,19,3,4,2,2,0,0,1.8,1.6,-2.0,3.0,0.33,0.36,3.6,5.6,2,1.09,2.14,0.75,2.25
I1,24/05/09,Torino,Genoa,2,3,A,1,1,D,16,18,5,9,24,18,5,7,2,1,1,0,1.4,1.6,-1.0,0.0,0.21,0.23,4.8,2.6,2,1.05,1.05,0.5,2.0
I1,31/05/09,Bologna,Catania,3,1,H,2,0,H,16,23,11,7,9,9,4,5,2,0,0,0,1.2,0.2,-2.0,-4.0,0.29,0.27,4.2,4.4,0,1.05,1.05,1.05,1.05
I1,31/05/09,Fiorentina,Milan,0,2,A,0,0,D,17,16,3,3,11,11,5,5,0,1,0,0,3.0,2.0,7.0,6.0,0.45,0.36,4.0,5.0,2,1.87,1.94,1.0,1.5
I1,31/05/09,Genoa,Lecce,4,1,H,1,1,D,14,25,6,11,13,6,3,9,0,3,0,0,2.0,0.2,4.0,-7.0,0.37,0.37,5.4,3.8,0,1.05,0.76,1.05,0.76
I1,31/05/09,Inter,Atalanta,4,3,H,2,2,D,19,12,9,5,11,7,14,3,2,0,0,0,2.6,1.2,10.0,-2.0,0.39,0.26,6.2,3.8,0,2.26,1.05,2.5,0.25
I1,31/05/09,Juventus,Lazio,2,0,H,1,0,H,18,20,6,2,20,10,8,4,0,2,0,0,1.4,0.6,3.0,-6.0,0.39,0.06,6.2,3.6,0,2.14,1.52,2.0,0.5
I1,31/05/09,Napoli,Chievo,3,0,H,3,0,H,9,10,5,4,18,10,6,11,0,0,0,0,1.0,1.8,-2.0,5.0,0.09,0.53,4.6,3.8,0,1.05,1.22,1.05,1.22
I1,31/05/09,Palermo,Sampdoria,2,2,D,2,1,H,25,17,10,8,15,21,7,5,2,3,0,0,3.0,1.2,13.0,-1.0,0.47,0.39,7.2,3.6,1,1.38,1.32,1.17,1.67
I1,31/05/09,Reggina,Siena,1,1,D,1,0,H,10,20,3,8,18,20,4,9,3,0,0,1,1.0,1.2,-2.0,1.0,0.21,0.3,4.8,4.6,1,1.16,1.09,1.5,1.0
I1,31/05/09,Roma,Torino,3,2,H,1,1,D,18,26,7,8,20,12,7,7,2,1,0,1,2.0,0.6,0.0,-7.0,0.26,0.17,7.6,3.6,0,1.98,1.05,1.75,1.0
I1,31/05/09,Udinese,Cagliari,6,2,H,3,0,H,18,17,10,5,13,9,5,2,1,1,0,0,2.0,0.8,5.0,-5.0,0.3,0.27,6.0,5.2,0,1.28,1.06,1.5,1.5
I1,22/08/09,Bologna,Fiorentina,1,1,D,1,0,H,6,17,4,5,17,20,4,9,1,1,0,0,,,,,,,0.0,0.0,1,1.05,1.82,0.0,3.0
I1,22/08/09,Siena,Milan,1,2,A,1,1,D,15,13,4,5,22,11,5,8,2,1,0,0,,,,,,,0.0,0.0,2,1.13,1.82,0.33,2.33
I1,23/08/09,Catania,Sampdoria,1,2,A,1,1,D,8,8,4,4,29,13,11,4,4,2,1,0,,,,,,,0.0,0.0,2,1.06,1.36,1.5,1.5
I1,23/08/09,Genoa,Roma,3,2,H,0,0,D,14,11,7,6,20,13,8,5,5,2,0,0,,,,,,,0.0,0.0,0,1.05,1.93,0.75,2.25
I1,23/08/09,Inter,Bari,1,1,D,0,0,D,20,13,3,4,20,14,10,1,3,2,0,0,,,,,,,0.0,0.0,1,2.33,1.05,2.33,1.05
I1,23/08/09,Juventus,Chievo,1,0,H,1,0,H,14,6,2,0,15,14,9,2,3,2,0,0,,,,,,,0.0,0.0,0,1.05,1.01,2.0,0.5
I1,23/08/09,Lazio,Atalanta,1,0,H,1,0,H,12,15,3,4,21,17,3,9,3,3,0,0,,,,,,,0.0,0.0,0,1.41,1.27,1.17,1.67
I1,23/08/09,Livorno,Cagliari,0,0,D,0,0,D,21,10,5,3,16,13,4,5,1,1,0,0,,,,,,,0.0,0.0,1,0.96,1.18,1.25,1.25
I1,23/08/09,Palermo,Napoli,2,1,H,1,0,H,9,15,4,4,20,10,4,10,4,2,0,0,,,,,,,0.0,0.0,0,1.42,1.05,1.5,1.5
I1,23/08/09,Udinese,Parma,2,2,D,1,1,D,14,13,6,5,15,19,7,3,3,3,0,0,,,,,,,0.0,0.0,1,1.41,1.0,1.75,1.0
I1,29/08/09,Bari,Bologna,0,0,D,0,0,D,10,16,1,3,16,19,2,2,0,0,1,0,,,,,,,0.0,0.0,1,1.05,1.05,1.05,1.05
I1,29/08/09,Milan,Inter,0,4,A,0,3,A,10,19,2,7,14,16,2,4,2,2,1,0,,,,,,,0.0,0.0,2,1.82,2.33,1.0,2.0
I1,30/08/09,Atalanta,Genoa,0,1,A,0,1,A,18,7,5,3,20,24,6,2,3,2,0,0,,,,,,,0.0,0.0,2,1.27,1.05,1.25,1.25
I1,30/08/09,Cagliari,Siena,1,3,A,0,0,D,10,11,4,6,11,27,5,6,1,4,0,0,,,,,,,0.0,0.0,2,1.18,1.13,1.33,1.33
I1,30/08/09,Chievo,Lazio,1,2,A,1,1,D,16,11,4,3,34,22,11,3,4,3,0,1,,,,,,,0.0,0.0,2,1.01,1.41,1.0,1.75
I1,30/08/09,Fiorentina,Palermo,1,0,H,1,0,H,22,11,4,3,22,14,4,7,2,2,0,0,,,,,,,0.0,0.0,0,1.82,1.42,1.17,1.67
I1,30/08/09,Napoli,Livorno,3,1,H,2,0,H,15,16,5,6,12,12,5,5,1,1,0,1,,,,,,,0.0,0.0,0,1.05,0.96,3.0,0.0
I1,30/08/09,Parma,Catania,2,1,H,1,1,D,17,9,9,4,18,26,8,8,1,3,0,0,,,,,,,0.0,0.0,0,1.0,1.06,0.75,1.5
I1,30/08/09,Roma,Juventus,1,3,A,1,1,D,10,25,4,10,19,18,7,9,3,4,0,0,,,,,,,0.0,0.0,2,1.93,1.05,0.25,2.5
I1,30/08/09,Sampdoria,Udinese,3,1,H,2,0,H,22,11,7,5,16,26,8,6,1,4,0,0,,,,,,,0.0,0.0,0,1.36,1.41,1.0,1.5
I1,12/09/09,Lazio,Juventus,0,2,A,0,0,D,12,16,5,7,11,26,6,3,0,4,0,0,3.0,3.0,1.0,2.0,0.33,0.3,3.0,10.0,2,1.41,1.05,0.25,2.5
I1,12/09/09,Livorno,Milan,0,0,D,0,0,D,14,15,6,4,16,14,8,4,3,1,0,0,1.0,3.0,0.0,1.0,0.0,0.4,5.0,5.0,1,0.96,1.82,0.5,2.0
I1,13/09/09,Atalanta,Sampdoria,0,1,A,0,0,D,26,8,9,3,22,19,10,1,1,3,0,1,0.0,3.0,-1.0,1.0,0.0,0.5,5.0,4.0,2,1.27,1.36,1.5,1.5
I1,13/09/09,Bologna,Chievo,0,2,A,0,2,A,13,13,3,5,20,19,5,2,2,1,0,0,1.0,0.0,0.0,-1.0,0.25,0.0,4.0,0.0,2,1.05,1.01,1.0,1.0
I1,13/09/09,Fiorentina,Cagliari,1,0,H,0,0,D,17,5,2,1,19,14,5,2,1,2,0,0,3.0,1.0,1.0,0.0,0.25,0.0,4.0,3.0,0,1.82,1.18,2.0,1.0
I1,13/09/09,Genoa,Napoli,4,1,H,1,1,D,13,15,7,4,13,20,3,3,1,4,1,2,3.0,0.0,1.0,-1.0,0.43,0.25,7.0,4.0,0,1.05,1.05,3.0,0.0
I1,13/09/09,Inter,Parma,2,0,H,0,0,D,25,8,9,1,14,18,4,5,3,1,0,0,1.0,1.0,0.0,0.0,0.33,0.4,3.0,5.0,0,2.33,1.0,3.0,0.0
I1,13/09/09,Palermo,Bari,1,1,D,0,1,A,28,9,10,4,16,12,8,1,5,0,0,0,3.0,1.0,1.0,0.0,0.5,0.25,4.0,4.0,1,1.42,1.05,1.42,1.05
I1,13/09/09,Siena,Roma,1,2,A,1,0,H,9,17,2,4,20,15,5,13,1,3,1,0,0.0,0.0,-1.0,-1.0,0.25,0.33,4.0,6.0,2,1.13,1.93,1.0,2.0
I1,13/09/09,Udinese,Catania,4,2,H,1,2,A,15,11,8,2,19,26,10,2,1,4,0,0,1.0,0.0,0.0,-1.0,0.33,0.25,6.0,4.0,0,1.41,1.06,1.17,1.67
I1,19/09/09,Juventus,Livorno,2,0,H,2,0,H,15,18,4,8,16,12,1,9,0,2,0,0,3.0,0.0,1.0,-2.0,0.5,0.17,2.0,6.0,0,1.05,0.96,3.0,0.0
I1,19/09/09,Napoli,Udinese,0,0,D,0,0,D,25,14,6,4,16,11,12,3,0,2,0,0,3.0,0.0,2.0,-2.0,0.6,0.2,5.0,5.0,1,1.05,1.41,2.0,0.5
I1,20/09/09,Bari,Atalanta,4,1,H,3,0,H,15,9,8,3,6,13,2,4,1,2,0,0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,4.0,0,1.05,1.27,1.05,1.27
